sub_id,from,to,response,rt
7,2,1,8,6384
7,7,4,6,3190
7,3,5,8,10836
7,13,9,5,2961
7,5,1,5,2734
7,1,10,5,2908
7,9,7,5,3176
7,10,12,6,4414
7,11,3,5,2775
7,8,11,5,3531
7,5,13,5,3315
7,9,1,5,2443
7,5,12,5,3501
7,9,12,5,2049
7,6,4,6,5943
7,2,8,5,3670
7,12,6,5,2327
7,2,13,6,1992
7,2,11,6,4260
7,1,8,5,2080
7,3,4,7,5819
7,8,9,7,5330
7,4,8,6,3558
7,8,6,5,2431
7,13,11,5,2747
7,10,9,5,3979
7,10,8,5,2724
7,3,2,6,10861
7,13,3,6,6613
7,4,10,5,5240
7,2,6,6,4646
7,11,4,5,2141
7,3,12,5,3223
7,4,12,5,4346
7,8,4,6,4902
7,4,3,5,5963
7,12,9,5,3514
7,11,12,8,6266
7,5,8,5,3802
7,5,11,5,4408
7,11,9,5,2548
7,7,8,5,2928
7,2,10,6,2425
8,1,3,1,15143
8,5,13,1,7163
8,1,12,1,11369
8,11,9,8,3349
8,4,13,1,3576
8,5,4,4,6979
8,12,13,8,2632
8,10,4,4,7498
8,11,8,1,3863
8,4,1,8,5111
8,10,1,2,9874
8,13,3,1,11061
8,8,5,7,12950
8,12,4,1,5725
8,4,3,8,4144
8,6,4,8,3717
8,5,6,1,11376
8,1,10,2,10925
8,9,6,1,3136
8,1,11,1,7477
8,9,1,1,4679
8,11,5,3,4408
8,3,13,1,5259
8,4,10,2,9150
8,8,3,7,4259
8,3,2,3,10689
8,11,10,4,6608
8,10,2,1,6734
8,3,9,1,4587
8,10,12,8,5523
8,5,8,6,5262
8,2,5,2,242798
8,2,6,8,4050
8,13,6,1,5866
8,10,5,6,4104
8,12,10,8,3119
8,13,5,2,7801
8,12,5,2,6258
8,5,10,7,5379
8,6,10,1,3777
8,3,1,3,4481
8,2,11,1,3227
8,2,7,2,9422
8,8,6,1,4294
8,8,10,8,3101
8,9,10,1,7667
8,9,3,1,8216
8,7,12,2,3023
8,4,7,2,2933
8,10,13,3,6436
8,1,7,1,5945
8,5,2,1,4764
8,10,7,1,4272
8,6,11,1,3477
8,1,8,7,9884
8,7,10,3,3382
8,9,7,1,4210
8,8,7,2,3708
8,12,11,8,3168
8,11,12,8,2200
8,4,5,6,6307
8,7,3,1,3525
8,2,10,2,11216
8,7,6,1,5354
8,5,7,1,2875
8,8,12,3,5198
8,13,8,1,5411
8,3,8,6,5681
8,2,12,1,2910
8,1,2,8,3477
8,4,8,6,3794
8,9,11,8,3290
8,10,6,1,6690
8,13,11,8,3337
8,12,9,3,5352
8,11,6,1,2388
8,3,7,1,3955
8,3,5,1,3665
8,9,2,1,3544
8,2,9,1,2532
8,7,11,2,3493
